project_type,area_hectares,duration_years,baseline_emissions,expected_emission_reduction,location,emission_factor,carbon_credits_generated
biochar_production,420.45,7,1234,628,Andhra Pradesh,1.15,1018.9
sustainable_agriculture,110.89,20,659,235,Jammu and Kashmir,2.14,836.74
wind_energy,146.48,22,1075,1041,Telangana,1.68,1590.96
afforestation,99.99,10,1672,1498,Delhi,2.08,2820.48
wetland_restoration,281.95,25,1307,1434,Uttar Pradesh,1.76,1761.76
wind_energy,279.46,25,1538,1310,Uttar Pradesh,0.65,880.75
solar_power,109.77,24,1264,999,Karnataka,0.79,758.4
electric_mobility,301.77,13,1305,349,Goa,2.12,1924.96
wetland_restoration,124.53,27,534,452,Manipur,1.12,484.96
geothermal_energy,132.36,17,1690,117,Chandigarh,2.3,2750.8
wetland_restoration,109.55,6,642,1188,Odisha,1.09,588.6
sustainable_agriculture,58.81,15,1388,92,Chandigarh,0.8,799.2
carbon_sequestration,461.53,7,1170,267,Meghalaya,1.21,999.46
electric_mobility,485.93,12,726,725,Telangana,0.78,261.3
biochar_production,485.24,26,1050,489,Himachal Pradesh,0.81,637.47
sustainable_agriculture,450.4,10,1254,618,Bihar,1.97,2232.01
afforestation,405.38,23,754,354,Tripura,0.62,347.82
afforestation,283.4,12,1686,1095,Tamil Nadu,0.74,933.14
afforestation,183.83,16,1485,1200,Delhi,2.32,2482.4
green_building,89.4,26,1007,709,Madhya Pradesh,2.11,1350.4
geothermal_energy,468.6,20,1492,548,Madhya Pradesh,2.21,2210
reforestation,183.26,19,1097,737,Andhra Pradesh,1.34,1282.38
afforestation,303.75,23,1367,193,Andaman and Nicobar Islands,1.84,2130.72
sustainable_agriculture,347.06,6,1556,162,Lakshadweep,1.78,2084.38
sustainable_agriculture,35.78,18,1303,334,Manipur,1.7,1941.4
geothermal_energy,275.47,24,859,256,Jammu and Kashmir,1.53,570.69
geothermal_energy,149.35,18,1134,898,Dadra and Nagar Haveli and Daman and Diu,1.92,1301.76
afforestation,304.83,9,1414,348,Himachal Pradesh,0.95,1069.7
geothermal_energy,21.79,14,717,757,Odisha,1.47,751.17
wind_energy,229.31,20,1453,1180,Delhi,2.37,3137.88
biochar_production,331.99,27,1361,286,Himachal Pradesh,2.42,2485.34
wetland_restoration,350.43,5,1457,1237,Maharashtra,0.66,863.94
electric_mobility,213.1,8,1192,234,Goa,2.05,2064.35
biochar_production,311.57,24,703,384,Manipur,1.45,498.8
carbon_sequestration,91.46,6,633,896,Dadra and Nagar Haveli and Daman and Diu,1.78,863.3
afforestation,399.05,20,343,267,Meghalaya,2.06,490.28
afforestation,246.24,21,1377,148,Meghalaya,2.2,2329.8
wind_energy,410.98,10,995,867,Andhra Pradesh,2.4,1236
methane_capture,7.36,7,1329,190,Assam,1,933
carbon_sequestration,63.22,7,729,752,Haryana,1.48,553.52
solar_power,400.28,6,1228,456,Meghalaya,0.78,695.76
methane_capture,301.01,27,1089,596,Madhya Pradesh,1.01,765.58
solar_power,278.81,24,772,170,Kerala,0.86,501.38
carbon_sequestration,461.27,13,1077,343,Uttarakhand,0.85,760.75
wind_energy,272.98,19,1493,392,Mizoram,0.81,889.38
geothermal_energy,175.02,24,568,364,Manipur,0.97,369.57
solar_power,263.36,6,1661,1065,Uttar Pradesh,1.5,2143.5
electric_mobility,150.28,19,1427,74,Jammu and Kashmir,0.57,655.5
biochar_production,322.14,17,1261,266,Meghalaya,0.82,715.04
afforestation,293.02,15,1134,785,Chhattisgarh,1.96,1309.28
green_building,456.8,8,1911,1435,Uttar Pradesh,1.92,2749.44
green_building,232.21,14,1429,636,Jharkhand,1.45,1613.85
green_building,461.68,20,830,588,Dadra and Nagar Haveli and Daman and Diu,2.38,1130.5
electric_mobility,113.65,10,440,117,Uttarakhand,0.98,308.7
electric_mobility,338.62,17,683,151,Lakshadweep,1.23,523.98
wetland_restoration,366.08,9,1446,188,Puducherry,2.14,2480.26
geothermal_energy,240.11,28,1299,435,Meghalaya,1.78,1591.32
afforestation,109.3,18,827,223,Arunachal Pradesh,0.95,658.35
wetland_restoration,158.12,19,996,423,Chhattisgarh,1.29,1113.27
electric_mobility,76.81,16,502,396,Himachal Pradesh,0.99,237.6
green_building,102.76,22,978,963,Karnataka,0.78,641.94
electric_mobility,312.97,6,1523,1285,Tamil Nadu,1.89,2105.46
sustainable_agriculture,441.05,6,1582,1375,Gujarat,0.86,1000.18
solar_power,177.15,11,893,1059,Punjab,2.14,1076.42
biochar_production,96.86,16,710,878,Karnataka,2.22,1043.4
wetland_restoration,103.4,13,841,509,Rajasthan,1.34,684.74
wind_energy,124.13,8,1015,827,Jharkhand,1.82,951.86
reforestation,44.43,15,1106,481,Assam,1,663
solar_power,435.15,7,1095,478,Rajasthan,2.03,2017.82
sustainable_agriculture,150.37,10,1206,232,Ladakh,2.03,1449.42
green_building,493.09,9,1253,918,Telangana,1.59,1337.19
solar_power,471.26,9,1174,366,Uttarakhand,1.95,1916.85
sustainable_agriculture,104.81,7,727,855,Punjab,1.99,652.72
methane_capture,291.84,13,918,636,Rajasthan,1.08,685.8
reforestation,134.29,22,837,297,Chandigarh,1.66,1155.36
methane_capture,396.26,12,1860,1181,Gujarat,2.13,3062.94
wetland_restoration,250.94,20,779,1101,Haryana,2.38,887.74
wind_energy,302.44,29,1298,890,Odisha,2.12,2329.88
geothermal_energy,241.07,23,562,877,Rajasthan,0.61,159.82
electric_mobility,143.03,15,1729,1127,Uttar Pradesh,0.73,1008.86
reforestation,287.12,26,1270,1348,Maharashtra,0.81,914.49
green_building,323.12,20,469,605,Jharkhand,1.27,346.71
carbon_sequestration,272.96,26,770,644,Andhra Pradesh,1.33,582.54
afforestation,240.59,29,730,895,Madhya Pradesh,1.5,714
wind_energy,481.03,11,1223,1378,Tamil Nadu,1.61,1684.06
electric_mobility,246.55,20,584,470,Uttarakhand,0.73,346.75
sustainable_agriculture,117.53,18,734,434,Dadra and Nagar Haveli and Daman and Diu,2.13,1243.92
methane_capture,44.73,16,1505,1447,Tamil Nadu,2.15,2741.25
reforestation,176.82,20,1360,367,Nagaland,1.86,1781.88
carbon_sequestration,168.04,13,1737,1293,Delhi,1.14,1495.68
carbon_sequestration,469.92,27,464,172,Jammu and Kashmir,1.11,274.17
green_building,33.05,19,1725,1108,Delhi,0.79,1067.29
carbon_sequestration,181.77,18,1168,207,Puducherry,2.41,1749.66
carbon_sequestration,165.06,23,1481,887,Bihar,2.2,2479.4
wetland_restoration,221.09,23,1107,469,Arunachal Pradesh,0.66,539.88
solar_power,49.33,9,1069,186,Himachal Pradesh,1.64,1000.4
biochar_production,338.24,12,573,203,Andaman and Nicobar Islands,1.75,665
reforestation,277.17,28,992,401,Meghalaya,0.88,710.16
green_building,255.35,14,405,633,Chhattisgarh,2.28,620.16
green_building,314.51,17,1455,329,Sikkim,1.86,1947.42
carbon_sequestration,33.84,20,1539,332,Himachal Pradesh,0.65,714.35
sustainable_agriculture,182.02,29,889,732,Telangana,2.32,1146.08
wind_energy,389.56,27,1332,462,Dadra and Nagar Haveli and Daman and Diu,1.37,1323.42
electric_mobility,321.95,7,1069,1114,West Bengal,2.36,1777.08
methane_capture,33.75,11,711,483,Jharkhand,0.84,302.4
solar_power,96.44,14,1487,1263,Maharashtra,2.16,2741.04
solar_power,180.58,17,668,240,Goa,0.73,339.45
green_building,382.02,18,1517,206,Manipur,2.18,2315.16
methane_capture,80.95,27,866,210,Jammu and Kashmir,2.01,1433.13
biochar_production,160.12,25,1856,1422,Delhi,0.75,1052.25
geothermal_energy,168.61,11,1266,802,Telangana,1.36,1486.48
wind_energy,259.02,21,745,168,Nagaland,2.21,1337.05
geothermal_energy,120.61,14,502,673,Jharkhand,0.61,155.55
electric_mobility,399.16,17,1159,745,Madhya Pradesh,0.78,689.52
electric_mobility,47.93,16,996,227,Sikkim,1.43,1078.22
solar_power,238.79,11,1376,975,West Bengal,2.23,2303.59
sustainable_agriculture,472.94,5,1289,750,Rajasthan,1.56,1787.76
sustainable_agriculture,344.59,29,936,1179,Punjab,1.46,938.78
afforestation,167.75,18,928,85,Jammu and Kashmir,1.84,936.56
geothermal_energy,373.92,20,854,1034,Karnataka,1.44,1025.28
afforestation,417.39,5,865,488,Uttarakhand,2.33,1402.66
sustainable_agriculture,461.34,28,728,1040,Karnataka,1.51,469.61
afforestation,454.77,28,439,645,Bihar,1.61,420.21
geothermal_energy,7.71,18,699,444,Rajasthan,1.49,865.69
solar_power,466.22,13,1140,565,Jharkhand,0.73,662.84
biochar_production,44.96,29,1005,779,Odisha,0.8,480
sustainable_agriculture,125.28,14,730,632,Chhattisgarh,1.13,637.32
solar_power,178.36,19,709,1154,West Bengal,1.47,524.79
electric_mobility,343.22,22,1268,164,Uttarakhand,1.17,1085.76
afforestation,198.36,20,1701,1078,Delhi,1.68,2498.16
carbon_sequestration,390.37,6,368,310,Assam,2.08,453.44
geothermal_energy,58.09,7,401,129,Goa,1.83,534.36
wind_energy,400.09,7,1205,123,Assam,0.89,655.04
methane_capture,415.18,26,990,829,Haryana,2.19,1578.99
wetland_restoration,390,27,1281,407,Tripura,1.87,1651.21
reforestation,5.5,18,1345,309,Arunachal Pradesh,0.57,670.32
biochar_production,184.31,10,1451,861,Punjab,0.9,948.6
solar_power,265.23,12,1237,540,Dadra and Nagar Haveli and Daman and Diu,2.47,2047.63
wetland_restoration,196.02,21,1515,752,Andhra Pradesh,0.61,709.43
wind_energy,24.13,27,1242,1027,Punjab,0.6,575.4
electric_mobility,185.44,12,1787,1409,Gujarat,1.37,1817.99
reforestation,464.72,27,1349,696,Rajasthan,1.1,1206.7
carbon_sequestration,420.7,26,1178,792,Odisha,0.7,679.7
electric_mobility,314.74,12,1240,115,Jammu and Kashmir,1.58,1510.48
biochar_production,53.78,8,1040,112,Chandigarh,1.1,617.1
wetland_restoration,499.71,6,1485,874,Rajasthan,1.81,1844.39
electric_mobility,23.12,21,1165,330,Mizoram,1.24,1189.16
sustainable_agriculture,62.06,26,477,56,Andaman and Nicobar Islands,0.71,169.69
afforestation,274.06,27,1611,1445,Gujarat,0.55,774.4
sustainable_agriculture,62.59,23,1525,1419,Tamil Nadu,0.81,843.21
green_building,457.7,6,1513,1118,Uttar Pradesh,1.03,1227.76
reforestation,354.19,22,1722,1290,Gujarat,1.49,2132.19
methane_capture,409.35,16,1342,522,Bihar,0.52,503.36
electric_mobility,184.06,13,1446,254,Tripura,1.04,1116.96
geothermal_energy,311.51,19,1573,1106,Uttar Pradesh,2.06,2801.6
wind_energy,184.75,6,1909,1272,Tamil Nadu,1.71,2435.04
methane_capture,75.93,15,757,118,Ladakh,2.37,895.86
afforestation,456.59,5,463,124,Goa,0.6,150.6
wetland_restoration,166.75,15,673,143,Assam,2.11,1014.91
wind_energy,61.76,17,1323,124,Kerala,0.86,952.02
wetland_restoration,189.49,14,414,251,Jammu and Kashmir,1.86,491.04
reforestation,250.94,22,1175,94,Andaman and Nicobar Islands,0.75,704.25
methane_capture,69.63,10,1536,330,Kerala,2.16,2408.4
green_building,307.38,25,480,764,Andhra Pradesh,1.09,359.7
electric_mobility,3.81,22,1756,1480,Delhi,1.92,2568.96
methane_capture,388.57,24,814,469,Kerala,2.07,755.55
wetland_restoration,396.42,12,1107,834,Punjab,0.99,850.41
methane_capture,379.87,19,1440,1135,Delhi,1.67,2169.33
wetland_restoration,372.5,16,1008,629,Rajasthan,1.47,1312.71
wetland_restoration,190.44,14,914,366,Sikkim,1.62,1087.02
wetland_restoration,255.58,28,1343,138,Sikkim,1.62,1511.46
carbon_sequestration,452.65,9,480,409,Uttarakhand,0.61,157.38
biochar_production,169.82,18,920,151,Lakshadweep,2.12,1530.64
electric_mobility,186.16,6,1266,494,Kerala,1.63,1634.89
carbon_sequestration,49.99,22,661,107,Andaman and Nicobar Islands,0.61,220.82
methane_capture,184.23,14,1632,1451,Delhi,1.55,1908.05
reforestation,45.87,10,1457,449,Bihar,1.88,2024.76
biochar_production,128.98,11,1653,1405,Maharashtra,2.44,3001.2
biochar_production,482.84,24,1046,873,Jharkhand,1.64,1507.16
electric_mobility,193.59,28,814,903,Odisha,2.4,1610.4
geothermal_energy,190.59,21,871,347,Himachal Pradesh,1.3,488.8
sustainable_agriculture,213.01,17,895,708,Bihar,1.01,735.28
sustainable_agriculture,378.85,8,1250,1228,Maharashtra,1.78,1913.5
wind_energy,340.12,25,1109,850,Telangana,1.31,1040.14
sustainable_agriculture,374.77,8,1016,91,Ladakh,1.64,1067.64
wind_energy,99.04,22,1509,1316,Uttar Pradesh,2.4,2781.6
wetland_restoration,255.77,21,1412,488,Mizoram,1.2,1124.4
solar_power,47.18,17,1534,162,Andaman and Nicobar Islands,2.2,2593.8
carbon_sequestration,81.16,18,409,68,Chandigarh,1.31,297.37
electric_mobility,447.46,29,1194,716,Andhra Pradesh,2.44,2244.8
green_building,394.43,10,603,1083,Punjab,2.49,926.28
afforestation,427.2,14,1368,1223,Delhi,2.06,2257.76
sustainable_agriculture,22.12,14,636,222,Kerala,1.76,809.6
geothermal_energy,170.91,22,878,441,Sikkim,1.46,852.64
carbon_sequestration,247.37,18,1047,192,Jammu and Kashmir,0.86,767.12
methane_capture,64.94,11,889,128,Jammu and Kashmir,1.38,805.92
wind_energy,496.71,17,1141,334,Kerala,0.6,513.6
sustainable_agriculture,95.56,14,1566,266,Puducherry,1.49,1695.62
wetland_restoration,200.3,15,1441,1255,Delhi,1.03,1148.45
wetland_restoration,458.4,18,1646,271,Kerala,1.19,1408.96
afforestation,360.65,10,1659,1450,Uttar Pradesh,1.47,1935.99
afforestation,178.2,15,937,573,Dadra and Nagar Haveli and Daman and Diu,1.2,888
geothermal_energy,61.44,19,547,407,Goa,1.49,548.32
geothermal_energy,360.51,28,1199,440,Assam,2.31,2300.76
geothermal_energy,235.83,26,1059,368,Kerala,2.01,1326.6
reforestation,200.75,12,1835,1364,Gujarat,0.97,1342.48
green_building,384.67,24,1318,149,Tripura,1.33,1549.45
electric_mobility,489.96,19,1294,629,Madhya Pradesh,2.06,1753.06
solar_power,237.86,9,981,673,Jharkhand,0.96,574.08
electric_mobility,65.1,19,1254,186,Jammu and Kashmir,0.74,815.48
wind_energy,154.57,25,798,260,Chandigarh,2.46,1158.66
geothermal_energy,173.26,12,1339,1023,Uttar Pradesh,1.25,1323.75
afforestation,101.5,25,1100,325,Mizoram,1.25,997.5
methane_capture,172.3,29,1012,218,Manipur,2.05,1152.1
geothermal_energy,357.25,23,1101,768,Odisha,2.4,2068.8
wetland_restoration,134.11,5,983,119,Uttarakhand,0.6,421.2
afforestation,231.27,13,547,333,Mizoram,1.3,356.2
afforestation,318.61,11,967,443,Assam,0.94,541.44
geothermal_energy,218.44,29,1523,1336,Delhi,2.48,3186.8
carbon_sequestration,247.16,25,1315,355,Sikkim,1.83,1961.76
wind_energy,436.25,26,874,613,Andhra Pradesh,1.07,750.07
wind_energy,475.68,27,904,209,Manipur,0.52,268.32
solar_power,302.07,27,885,248,Meghalaya,1.53,714.51
biochar_production,391.65,22,400,462,Tripura,1.39,361.4
electric_mobility,415.03,11,1117,577,Chhattisgarh,1.78,1400.86
wetland_restoration,8.22,23,1633,1366,Uttar Pradesh,2.38,2958.34
electric_mobility,436.7,29,1063,386,Arunachal Pradesh,0.73,553.34
green_building,286.88,29,1607,181,Andaman and Nicobar Islands,1.84,2125.2
wetland_restoration,276.34,9,1009,1038,Punjab,1.96,1289.68
afforestation,397.82,7,1285,1010,Haryana,0.7,598.5
reforestation,33.94,7,1542,855,Punjab,0.7,742.7
sustainable_agriculture,472.38,26,1678,1426,Gujarat,0.88,1238.16
carbon_sequestration,14.76,29,485,277,Arunachal Pradesh,1.77,621.27
carbon_sequestration,187.78,17,1637,1030,Tamil Nadu,0.85,1045.5
afforestation,496.68,17,677,142,Mizoram,1.45,371.2
sustainable_agriculture,334.46,11,1372,372,Goa,0.65,624
reforestation,344.95,26,897,385,Manipur,1.78,995.02
green_building,58.3,18,1277,352,Tripura,0.58,672.8
wind_energy,329.33,15,1056,694,Rajasthan,0.72,458.64
geothermal_energy,421.89,10,1140,295,Jammu and Kashmir,1.67,1254.17
reforestation,372.34,28,665,466,Andhra Pradesh,1.57,783.43
reforestation,63.23,12,1656,174,Goa,2,2372
methane_capture,181.38,23,825,821,West Bengal,0.53,268.71
geothermal_energy,15.81,9,733,1064,Karnataka,1.05,493.5
carbon_sequestration,87.58,27,1012,192,Manipur,1.94,1241.6
geothermal_energy,199.57,25,964,755,Andhra Pradesh,2.24,1292.48
sustainable_agriculture,112.45,10,746,459,Uttarakhand,1.39,715.85
methane_capture,265.46,29,705,87,Chandigarh,2.05,489.95
green_building,214.73,28,769,417,Himachal Pradesh,0.8,342.4
carbon_sequestration,304.89,27,1447,1263,Uttar Pradesh,1.53,1894.14
biochar_production,335.69,19,797,1157,Haryana,1.46,719.78
wetland_restoration,241.45,22,1649,85,Puducherry,1.3,1511.9
solar_power,219.21,19,694,431,Kerala,1.59,850.65
geothermal_energy,228.24,15,1066,991,Telangana,2.02,1680.64
solar_power,43.9,5,550,949,West Bengal,2.2,767.8
green_building,103.09,19,938,299,Puducherry,1.77,1309.8
sustainable_agriculture,216.19,16,499,132,Andaman and Nicobar Islands,2.36,738.68
solar_power,216.1,16,929,457,Tripura,0.57,415.53
afforestation,201.86,16,1285,483,Dadra and Nagar Haveli and Daman and Diu,2.36,2008.36
afforestation,116.89,6,1570,977,Karnataka,1.95,2106
reforestation,337.98,10,855,730,Punjab,1.09,758.64
biochar_production,449.61,28,1536,252,Manipur,1.7,1795.2
biochar_production,198.99,12,1307,107,Chandigarh,0.6,536.4
biochar_production,128.52,15,991,155,Chandigarh,1.53,815.49
electric_mobility,317.08,29,875,647,Rajasthan,1.87,1254.77
biochar_production,346.71,17,873,534,Dadra and Nagar Haveli and Daman and Diu,1.23,507.99
electric_mobility,441.62,18,1169,477,Andhra Pradesh,1.55,1412.05
wind_energy,362.58,13,877,774,Odisha,2.14,1371.74
afforestation,368.45,10,719,882,Odisha,1.45,816.35
wetland_restoration,34.28,27,1544,1038,Delhi,0.93,1176.45
biochar_production,387.18,23,1089,382,Kerala,1.75,1328.25
carbon_sequestration,315.67,19,1502,482,Tripura,2.47,2758.99
geothermal_energy,115.67,5,1053,326,Mizoram,1.88,1426.92
electric_mobility,458.2,16,1297,859,Dadra and Nagar Haveli and Daman and Diu,1.15,1075.25
biochar_production,326.53,6,1224,114,Jammu and Kashmir,1.36,1467.44
geothermal_energy,234.71,18,916,753,Rajasthan,0.69,523.71
afforestation,368.51,16,1558,1163,West Bengal,1.9,2103.3
afforestation,120.96,5,539,184,Andaman and Nicobar Islands,1.19,503.37
reforestation,28.19,27,805,605,Dadra and Nagar Haveli and Daman and Diu,1.34,576.2
reforestation,305.81,14,1302,402,Kerala,1.8,1823.4
methane_capture,58.15,28,737,492,Kerala,2.2,1130.8
afforestation,440.9,19,619,157,Kerala,1.22,511.18
methane_capture,25.47,19,1355,364,Goa,1.26,1256.22
reforestation,192.92,10,1234,351,Mizoram,1.76,1506.56
carbon_sequestration,77.62,20,899,235,Tripura,1.49,914.86
afforestation,107.61,7,1457,750,Jharkhand,2.42,2729.76
wind_energy,468.01,11,1774,1459,Delhi,1.96,2859.64
wind_energy,476.32,19,556,769,Chhattisgarh,1.96,640.92
solar_power,18.2,12,1475,1135,Gujarat,1.25,1506.25
methane_capture,36.46,14,1409,208,Puducherry,1.1,1203.4
electric_mobility,202.25,29,1020,568,Rajasthan,1.47,1008.42
carbon_sequestration,492.26,11,1225,928,Telangana,1.45,1280.35
reforestation,437.58,5,1401,257,Lakshadweep,2.12,2289.6
green_building,174.14,15,801,423,Dadra and Nagar Haveli and Daman and Diu,1.63,903.02
biochar_production,395.94,17,1206,98,Jammu and Kashmir,1.15,943
afforestation,174.14,16,672,466,Tripura,1.64,774.08
sustainable_agriculture,493.85,16,1300,832,Chhattisgarh,1.12,1040.48
carbon_sequestration,191.35,8,1064,771,West Bengal,1.15,890.1
sustainable_agriculture,497.74,13,595,390,Mizoram,1.87,678.81
electric_mobility,431.2,25,1429,1424,Gujarat,2.46,2688.78
afforestation,320.1,12,1640,1244,Tamil Nadu,2.33,3045.31
green_building,115.9,11,1538,1087,Uttar Pradesh,2.46,3055.32
electric_mobility,140.09,24,815,282,Sikkim,2.03,1416.94
electric_mobility,223.61,9,1114,120,Puducherry,2.23,1721.56
carbon_sequestration,2.39,16,1136,426,Himachal Pradesh,0.51,465.63
wetland_restoration,395.41,16,995,250,Manipur,1.68,1244.88
sustainable_agriculture,259.37,11,1514,243,Kerala,2.46,2833.92
reforestation,224.02,8,949,205,Ladakh,1.01,645.39
wind_energy,10.84,14,1246,345,Meghalaya,2.09,2273.92
sustainable_agriculture,483.44,25,1261,272,Ladakh,1.92,1968
geothermal_energy,30.46,24,1688,1055,Delhi,0.64,923.52
electric_mobility,89.29,29,1525,1444,Gujarat,1.74,2380.32
reforestation,71.98,8,694,416,Uttarakhand,1.14,295.26
biochar_production,128.34,5,972,736,Telangana,1.76,1473.12
methane_capture,448.41,15,315,325,Meghalaya,1.37,275.37
electric_mobility,412.43,17,941,1151,Telangana,2.41,1814.73
green_building,55.35,20,1560,693,Bihar,2.49,2646.87
methane_capture,494.49,18,1141,288,Goa,1.57,1452.25
afforestation,315.56,27,605,865,Chhattisgarh,1.66,825.02
carbon_sequestration,374.73,16,976,866,Telangana,2.18,1829.02
methane_capture,383.98,6,1433,1198,Tamil Nadu,2.4,2426.4
afforestation,352.69,29,1109,287,Manipur,1.01,1004.95
geothermal_energy,295.32,26,739,213,Chandigarh,2.38,1392.3
geothermal_energy,110.5,11,1367,306,Meghalaya,0.58,685.56
afforestation,277.36,16,1055,1013,Odisha,0.66,382.8
methane_capture,267.18,7,1222,925,Punjab,0.76,601.92
sustainable_agriculture,220.37,5,1346,1024,Odisha,1.53,1396.89
reforestation,363.38,13,829,905,Punjab,1.35,804.6
green_building,440.56,9,1243,231,Andaman and Nicobar Islands,0.65,551.2
sustainable_agriculture,90.08,28,1355,707,Chhattisgarh,1.47,1278.9
geothermal_energy,241.08,6,986,713,Punjab,1.61,949.9
carbon_sequestration,301.23,11,1003,769,Andhra Pradesh,1.48,1178.08
wetland_restoration,190.35,7,1266,349,Meghalaya,2.29,2411.37
carbon_sequestration,65.71,18,1144,125,Chandigarh,0.79,559.32
green_building,463.87,16,620,997,Karnataka,1.67,354.04
methane_capture,365.42,27,1624,207,Lakshadweep,0.94,1114.84
electric_mobility,94.04,23,1140,196,Ladakh,0.95,983.25
reforestation,219.55,26,728,709,Rajasthan,1.8,748.8
reforestation,75.39,23,999,426,Himachal Pradesh,2.49,1573.68
sustainable_agriculture,58.01,18,1471,440,Himachal Pradesh,2.34,2361.06
wetland_restoration,362.27,22,965,177,Himachal Pradesh,1.98,1025.64
reforestation,100.34,26,564,183,Andaman and Nicobar Islands,2.16,1002.24
biochar_production,157.85,24,1533,67,Andaman and Nicobar Islands,1.33,1397.83
sustainable_agriculture,407.1,15,636,112,Assam,0.64,135.68
green_building,394.5,5,988,267,Tripura,1.87,1510.96
geothermal_energy,392.39,14,900,355,Arunachal Pradesh,1.12,784
solar_power,233.58,19,785,154,Sikkim,2.2,1282.6
solar_power,78.15,7,1212,174,Kerala,2.44,2496.12
reforestation,22.71,26,719,310,Himachal Pradesh,2.28,1076.16
electric_mobility,150.95,15,1137,57,Chandigarh,1.52,1314.8
sustainable_agriculture,58.17,23,1813,1075,Delhi,1.76,2576.64
reforestation,389.08,17,899,133,Meghalaya,2.09,1009.47
methane_capture,7.07,20,1207,406,Sikkim,1.06,1063.18
sustainable_agriculture,370.68,21,1099,638,Rajasthan,2.26,1371.82
wind_energy,372.31,8,1256,761,Bihar,1.32,1277.76
reforestation,411.1,8,552,299,Mizoram,0.81,236.52
sustainable_agriculture,459.16,15,1052,449,Uttarakhand,2.2,2046
wind_energy,476.87,25,1629,721,Karnataka,1.18,1333.4
reforestation,390.14,13,687,424,Chhattisgarh,1.77,499.14
electric_mobility,262.34,24,1058,236,Manipur,1.04,718.64
geothermal_energy,152.1,16,985,793,Jharkhand,2.02,1654.38
wind_energy,197.14,24,1405,1087,Karnataka,0.67,649.23
wetland_restoration,64.2,19,1076,188,Kerala,0.53,491.84
solar_power,94.39,22,791,878,Chhattisgarh,1.33,893.76
carbon_sequestration,351.67,24,1655,1439,Tamil Nadu,2.26,2901.84
methane_capture,363.97,11,1352,881,Bihar,2.37,2535.9
sustainable_agriculture,335.27,29,750,199,Puducherry,1.54,469.7
wind_energy,283.76,23,1511,1472,Uttar Pradesh,0.58,687.3
wind_energy,276.46,27,1007,152,Himachal Pradesh,2.05,1143.9
biochar_production,432.13,8,1113,924,West Bengal,1.46,899.36
carbon_sequestration,28.8,25,1700,1008,Maharashtra,1.23,1618.68
wetland_restoration,442.55,23,406,373,Tripura,1.74,448.92
sustainable_agriculture,99.69,15,814,588,Andhra Pradesh,0.61,280.6
green_building,379.58,18,1081,378,Kerala,1.41,1163.25
carbon_sequestration,88.03,8,1360,359,Himachal Pradesh,1.39,1469.23
green_building,261.12,29,534,334,Uttarakhand,0.79,202.24
methane_capture,135.17,17,592,807,West Bengal,1.35,652.05
carbon_sequestration,38.64,17,1303,499,Tripura,1.61,1827.35
carbon_sequestration,138.01,15,529,125,Puducherry,1.43,500.5
wind_energy,341.4,9,945,798,Madhya Pradesh,2.04,1583.04
afforestation,252.72,19,1385,181,Tripura,0.91,1070.16
geothermal_energy,253.98,29,1377,145,Ladakh,2.28,2026.92
biochar_production,184.09,27,1467,1032,Tamil Nadu,1.34,1535.64
methane_capture,97.74,9,917,754,Karnataka,1.99,1072.61
afforestation,179.57,27,838,657,Rajasthan,1.41,936.24
wetland_restoration,112.18,16,1097,276,Manipur,0.67,528.63
electric_mobility,132.76,15,1114,186,Goa,1.1,799.7
sustainable_agriculture,356.53,28,1585,1278,Delhi,1.67,2251.16
carbon_sequestration,282.14,18,1022,1178,Punjab,1.23,675.27
electric_mobility,182.32,9,1258,446,Manipur,1.04,881.92
geothermal_energy,476.68,5,1004,239,Andaman and Nicobar Islands,1.1,689.7
sustainable_agriculture,486.46,24,658,823,Odisha,1.34,611.04
solar_power,108.91,12,872,140,Kerala,0.52,304.2
electric_mobility,206.86,12,1377,433,Sikkim,2.26,2070.16
solar_power,152.33,27,771,237,Mizoram,1.75,892.5
geothermal_energy,184.55,6,1289,1061,Gujarat,2.05,2123.8
biochar_production,164.95,26,667,448,Sikkim,2.02,892.84
biochar_production,179.65,12,692,685,Jharkhand,1.83,473.97
geothermal_energy,92.35,16,1372,144,Assam,1.98,1916.64
geothermal_energy,364.15,9,1303,194,Lakshadweep,1.82,2156.7
methane_capture,486.19,16,984,427,Uttarakhand,2.42,1735.14
wetland_restoration,410.5,13,1405,75,Lakshadweep,1.01,1036.26
solar_power,248.01,9,705,159,Ladakh,0.72,375.12
methane_capture,117.77,26,880,110,Andaman and Nicobar Islands,0.78,569.4
methane_capture,440.9,24,1027,1031,Telangana,2.19,1857.12
green_building,188.97,6,1324,973,Punjab,0.96,877.44
biochar_production,360.61,18,1207,310,Assam,0.71,752.6
carbon_sequestration,95.08,16,1245,1059,Gujarat,1.47,1497.93
afforestation,166.86,6,692,1087,Telangana,1.96,856.52
afforestation,53.27,25,418,125,Manipur,0.71,169.69
solar_power,384.02,16,801,456,Andhra Pradesh,1.1,561
carbon_sequestration,390.66,6,902,62,Jammu and Kashmir,2.43,1924.56
solar_power,294.65,17,1622,1170,Tamil Nadu,1.16,1404.76
green_building,478.45,18,1016,414,Sikkim,2.29,1609.87
afforestation,227.66,18,1520,256,Uttarakhand,2.16,2442.96
geothermal_energy,452.61,22,1210,211,Kerala,1.89,1954.26
wetland_restoration,447.75,13,499,810,Rajasthan,1.06,257.58
